City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date
carahue,-38.7,-73.17,71.6,56,0,11.41,1608585213
west wendover,40.74,-114.07,42.8,52,1,6.93,1608585213
bushehr,28.97,50.84,60.8,77,0,13.87,1608585213
aketi,2.74,23.78,74.32,63,25,1.21,1608585213
lamar,33.67,-95.58,69.8,28,1,11.41,1608585213
susaki,33.37,133.28,37.69,77,0,6.44,1608585213
manggar,-2.88,108.27,79.21,86,86,11.21,1608585213
korla,41.76,86.15,18.91,92,6,6.35,1608585214
maloy,61.94,5.11,43.0,87,75,19.46,1608585214
big spring,32.25,-101.48,68.0,13,1,6.93,1608585214
vilhena,-12.74,-60.15,73.13,90,100,8.01,1608585032
villa carlos paz,-31.42,-64.5,86.0,27,20,18.34,1608585075
effingham,32.37,-81.33,59.0,62,40,11.41,1608585214
shache,38.42,77.24,20.44,91,42,3.53,1608585214
sarangani,5.4,125.46,82.56,77,100,17.49,1608585214
marsaxlokk,35.84,14.54,60.01,93,40,8.05,1608585214
muroto,33.28,134.15,48.25,61,17,8.03,1608585215
unai,-16.36,-46.91,79.75,74,100,4.18,1608585215
xai-xai,-25.05,33.64,74.43,79,18,9.44,1608585215
takab,36.4,47.11,23.61,80,63,1.9,1608585215
chicama,-7.84,-79.15,69.8,73,0,18.34,1608585215
muros,42.78,-9.06,61.0,94,100,1.01,1608585215
okotoks,50.73,-113.98,30.99,61,100,9.55,1608585056
karabulak,43.3,44.9,30.2,100,100,4.47,1608585215
porto belo,-27.16,-48.55,78.8,69,75,12.75,1608585006
lakhdenpokhya,61.52,30.2,34.0,93,100,12.93,1608585215
atambua,-9.11,124.89,75.42,90,100,3.87,1608585216
kiomboi,-4.27,34.37,66.45,77,92,4.54,1608585216
iskateley,67.68,53.15,9.1,95,98,11.83,1608585216
sao joao do paraiso,-15.31,-42.01,73.38,84,30,3.2,1608585017
half moon bay,37.46,-122.43,60.01,76,20,9.17,1608585216
san jose del potrero,14.83,-87.28,82.4,61,40,6.93,1608585217
diveyevo,55.04,43.24,16.03,96,93,12.53,1608585217
maxixe,-23.86,35.35,75.15,90,12,6.42,1608585217
boa vista,2.82,-60.67,91.4,46,40,12.75,1608585127
orlik,52.52,99.83,-5.06,80,100,4.97,1608585217
kangaba,11.93,-8.42,75.2,21,90,5.21,1608585217
antofagasta,-23.65,-70.4,68.0,64,20,17.22,1608585068
cabo san lucas,22.89,-109.91,78.01,47,5,9.17,1608585011
tuim,54.34,89.93,-0.26,85,100,10.07,1608585217
okhotsk,59.38,143.3,-5.4,88,100,12.8,1608585217
atikokan,48.76,-91.62,16.74,94,100,4.43,1608585217
alugan,12.22,125.48,79.83,85,100,9.55,1608585218
wexford,52.33,-6.46,44.6,100,75,11.41,1608585218
klamath falls,42.22,-121.78,48.0,75,1,3.36,1608584932
ucluelet,48.93,-125.55,42.01,93,90,4.7,1608585218
portarlington,53.16,-7.19,41.0,97,100,6.8,1608585218
esperance,-33.87,121.9,51.8,81,17,5.82,1608585218
ibaiti,-23.85,-50.19,76.06,88,92,3.85,1608585218
charters towers,-20.1,146.27,78.37,76,25,10.76,1608585218
turinsk,58.05,63.7,9.93,95,100,6.62,1608585218
cacador,-26.78,-51.02,73.38,51,33,4.34,1608585219
jalu,29.03,21.55,56.07,67,0,9.62,1608585219
riviere-au-renard,49.0,-64.4,35.6,94,75,3.36,1608585219
zhangye,38.93,100.45,13.82,86,44,3.22,1608585219
labuhan,-6.88,112.21,77.23,86,100,7.94,1608585219
san jeronimo,-11.95,-75.28,61.66,54,95,5.35,1608585219
alice springs,-23.7,133.88,66.2,93,90,12.75,1608585145
kenai,60.55,-151.26,25.0,79,90,19.46,1608585219
zhuhai,22.28,113.57,59.0,71,0,18.34,1608585219
porgera,-5.47,143.2,39.24,100,100,1.88,1608585221
nemuro,43.32,145.57,29.98,89,44,17.11,1608585194
karabash,55.48,60.22,11.1,90,100,12.88,1608585221
ahipara,-35.17,173.17,70.38,64,100,4.34,1608585221
upata,8.01,-62.4,87.01,67,89,4.0,1608585221
lashma,54.93,41.14,20.55,95,100,10.18,1608585221
moose factory,51.26,-80.61,6.8,77,90,3.36,1608585221
likasi,-10.98,26.73,64.29,94,98,2.62,1608585221
maroantsetra,-15.43,49.73,75.11,85,68,1.9,1608585154
huancavelica,-12.77,-74.98,50.97,66,100,5.19,1608585221
maine-soroa,13.21,12.02,70.34,22,85,6.64,1608585221
la reforma,25.08,-108.05,82.0,43,66,3.0,1608585221
raymond,43.9,-70.47,32.0,94,30,2.71,1608585222
gaoual,11.75,-13.2,77.27,25,100,2.42,1608585222
asau,46.43,26.4,34.0,100,90,2.24,1608585222
terra santa,-2.1,-56.49,87.44,63,100,1.43,1608585222
brae,60.4,-1.35,42.8,87,75,23.04,1608585222
oyo,7.85,3.93,80.85,62,57,5.77,1608585222
bukachacha,52.98,116.92,2.55,91,93,1.61,1608585222
den helder,52.96,4.76,53.01,93,90,24.16,1608585222
shangqiu,34.45,115.65,37.0,55,0,1.99,1608585139
koslan,63.46,48.9,34.61,96,100,9.06,1608585222
victor harbor,-35.57,138.62,60.01,79,35,1.01,1608585223
dvinskoy,62.15,45.12,35.04,95,100,7.38,1608585223
beloha,-25.17,45.05,78.69,66,10,9.01,1608585223
burns lake,54.23,-125.75,15.8,85,49,2.01,1608585223
sioux lookout,50.1,-91.92,6.8,60,75,3.36,1608585223
baykit,61.67,96.37,-7.87,86,100,3.56,1608585223
jingdezhen,29.29,117.21,35.96,82,0,3.22,1608585223
tuy hoa,13.08,109.3,67.82,89,100,13.98,1608585224
kachiry,53.07,76.1,3.36,93,100,12.77,1608585224
kropotkin,45.44,40.58,32.16,94,100,13.98,1608585224
ercis,39.03,43.36,30.2,80,75,5.82,1608585224
kaoma,-14.78,24.8,66.43,93,100,3.47,1608585224
butajira,8.12,38.37,56.55,78,6,6.78,1608585224
shakawe,-18.37,21.85,75.06,72,100,7.14,1608585224
dolores,-36.31,-57.68,76.75,29,0,13.0,1608585004
saint-ambroise,48.55,-71.33,32.0,98,99,1.12,1608585224
jalpan,21.23,-99.48,72.25,52,43,4.65,1608585224
macklin,52.33,-109.93,28.4,74,100,5.82,1608585224
eydhafushi,5.1,73.07,78.78,87,100,22.32,1608585225
camacupa,-12.02,17.48,60.42,98,50,2.75,1608585225
kita,13.03,-9.49,75.18,21,100,5.39,1608585225
manakara,-22.13,48.02,74.97,90,5,6.33,1608585225
lere,10.39,8.57,67.55,28,71,4.7,1608585225
salta,-24.79,-65.41,78.8,34,0,8.05,1608584981
kelowna,49.88,-119.49,34.0,78,90,18.34,1608584980
maragogi,-9.01,-35.22,78.33,75,0,10.42,1608585225
tarrafal,15.28,-23.77,73.4,78,20,18.34,1608585225
tongzi,28.78,105.09,45.88,71,97,1.72,1608585226
yangambi,0.81,24.43,71.08,93,30,3.29,1608585226
sitka,57.05,-135.33,35.6,93,75,4.7,1608585226
tarko-sale,64.92,77.78,-34.02,83,98,8.63,1608585226
cap-haitien,19.76,-72.2,82.4,65,20,9.17,1608585226
boras,57.72,12.94,39.99,93,75,10.29,1608585141
itoman,26.12,127.67,64.4,72,75,5.82,1608585211
